tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err
100100827,185.01,PC,24.354314,-45.677896,8.833,0.017,1354.458014,4.40E-05,0.941449,2.00E-06,2.15304,0.004752
279741379,186.01,PC,51.74676,-63.499154,6.95341,0.017139,1350.3,0.001598,NaN,NaN,2.497779,0.134082
260304296,187.01,PC,94.615669,-57.013569,9.093,0.019,1325.778915,0.000181,0.512589,3.00E-06,1.655647,0.013929
280830734,188.01,PC,44.555164,-70.760917,9.426,0.018,1325.777845,0.002426,1.162031,8.80E-05,1.172865,0.184116
278866211,189.01,PC,100.807855,-55.24454,10.218,0.018,1327.357534,0.000613,2.194097,4.10E-05,1.956189,0.036019
166739520,190.01,PC,36.775436,-50.284518,9.632,0.018,1357.571578,0.000478,10.020817,0.000175,5.79945,0.035616
183532609,191.01,PC,359.900305,-35.03139,9.109,0.019,1358.920239,0.000342,8.159165,0.000501,4.437074,0.026217
183537452,192.01,PC,357.879533,-39.906726,10.195,0.017,1356.414736,0.000268,3.922743,7.40E-05,2.616187,0.028454
183985250,193.01,PC,358.667547,-37.62802,9.098,0.018,1354.214863,0.000275,0.792072,1.50E-05,0.686972,0.078023
211438925,194.01,PC,5.160559,-23.935731,10.211,0.018,1356.565648,0.000383,4.899379,0.00013,3.342154,0.027737
230982885,195.01,PC,24.604344,-55.772082,9.956,0.018,1355.490416,0.000138,2.072761,2.00E-05,2.588325,0.012332
234519192,196.01,PC,14.551711,-64.761619,8.05,0.018,1354.30751,0.001705,1.163088,0.000126,1.805261,0.100137
441462736,197.01,PC,353.033649,-21.801397,7.303,0.017,1357.013115,0.004172,14.279001,0.006368,9.207214,0.29331
12421862,198.01,PC,2.2682,-27.1221,9.853,0.04,1356.375417,0.002301,20.427265,0.003312,2.178553,0.580092
309792357,199.01,PC,80.105474,-59.895662,10,0.019,1361.02496,NaN,NaN,NaN,7.305071,0.146667
410214986,200.01,PC,354.914556,-69.195787,7.771,0.018,1332.309957,NaN,8.1375,NaN,3.253514,0.111849
350618622,201.01,PC,87.401712,-54.910734,8.566,0.02,1376.05,NaN,NaN,NaN,4.070756,0.642487
355509914,202.01,PC,15.524836,-59.087778,14.587,0.019,1326.115925,0.002679,1.738316,0.000145,1.436749,0.172887
259962054,203.01,PC,43.0188,-67.6876,12.17,0.05,1327.729066,0.007615,51.953234,0.010389,6.315533,0.849625
281781375,204.01,PC,12.975211,-59.343014,9.197,0.019,1328.032557,0.005254,43.828624,0.007815,4.507978,0.499727
281575427,205.01,PC,7.975187,-56.965111,9.427,0.017,1326.336481,0.003776,4.251801,0.000517,3.333173,0.711858
55650590,206.01,PC,73.73719,-62.522369,12.472,0.036,1325.542781,0.00105,0.736283,2.90E-05,0.514185,0.352528
260271203,207.01,PC,94.218078,-58.229816,13.42,0.019,1330.09558,0.00071,5.64939,8.00E-05,3.897,0.199
314865962,208.01,PC,53.281311,-72.744226,10.315,0.019,1335.985928,0.005641,22.434498,0.004457,6.343609,0.787534
52204645,209.01,PC,19.394306,-66.902497,10.778,0.018,1325.883984,0.002528,4.379757,0.000333,1.651748,0.451224
141608198,210.01,PC,88.960448,-73.984659,12.507,0.017,1329.821358,0.003362,9.010138,0.000985,1.870258,0.304552
300293197,211.01,PC,110.279641,-68.578384,9.448,0.019,1329.255719,0.001078,6.563939,0.000169,1.679329,0.08334
206609630,212.01,PC,22.551,-59.5832,12.186,0.04,1325.491317,7.00E-05,0.335269,1.00E-06,0.71036,0.010057
234345288,213.01,PC,38.886663,-71.624147,9.697,0.017,1343.336546,0.002193,23.516847,0.003057,3.465851,0.37539
167415965,214.01,PC,99.460653,-70.932628,7.965,0.018,1336.68217,0.00393,18.55378,0.00112,3.643,0.453
231912935,215.01,PC,7.318019,-63.790619,10.475,0.018,1334.391185,0.003433,26.296721,0.004952,2.686196,0.577005
55652896,216.01,PC,73.980231,-63.260063,11.504,0.018,1331.28513,0.000867,34.539342,0.001153,5.503218,0.081042
55652896,216.02,PC,73.980231,-63.260063,11.504,0.018,1325.335632,0.00306,17.099142,0.001504,2.03145,0.243138
260043723,217.01,PC,91.608606,-58.953644,8.711,0.018,1327.066685,0.004616,3.13879,0.00045,4.90342,0.267827
32090583,218.01,PC,58.42027,-68.739532,13.551,0.064,1325.550345,0.001127,0.438317,1.80E-05,0.754144,0.153195
260609205,219.01,PC,97.453901,-57.254837,12.63,0.018,1328.754344,0.000912,4.461939,0.000134,5.361187,0.060268
150098860,220.01,PC,91.799884,-61.996896,9.656,0.018,1335.900564,0.002404,10.696823,0.001047,2.149557,0.321233
316937670,221.01,PC,356.4904,-56.3447,11.78,0.04,1325.342966,0.001421,0.62425,3.30E-05,0.774288,0.553938
144440290,222.01,PC,359.161519,-44.719088,8.723,0.017,1376.544,NaN,NaN,NaN,0.68,NaN
326453034,223.01,PC,339.677665,-25.631723,10.206,0.018,1355.95751,0.002649,14.445918,0.003833,1.533311,0.535725
70797900,224.01,PC,1.9774,-29.979,10.95,0.04,1365.843681,0.00024,NaN,NaN,1.881429,0.01978
47525799,225.01,PC,343.879737,-24.409619,10.948,0.018,1355.118503,0.004188,NaN,NaN,3.75,NaN
47484268,226.01,PC,342.9664,-24.7875,12.367,0.04,1358.500535,0.002621,NaN,NaN,2.67,NaN
2760710,227.01,PC,356.5277,-16.6912,14.277,0.059,1364.102069,0.002061,NaN,NaN,1.51,NaN
